,0
0,210098.05280259543
1,174856.5220066479
2,171714.84875513657
3,162510.21104599818
4,131124.46544203017
5,345387.6574930984
6,129374.04302202248
7,147309.43515826104
8,115334.9333348032
9,153976.14661538354
10,135598.24159062232
11,227256.61066231361
12,146428.03091727357
13,290869.5369427061
14,134753.45986240116
15,137037.82165801345
16,370847.41233901656
17,259440.96878803227
18,211674.36330175636
19,193727.3520891217
20,122536.9942343971
21,110704.81810008359
22,170770.82023921536
23,173026.7266714511
24,215917.02582642587
25,101664.79651339004
26,148124.22686375747
27,140245.79695947818
28,187124.16964835877
29,213433.46174016802
30,218668.54285125423
31,175862.91161637928
32,258264.78990301886
33,244087.55470209633
34,107236.81295244323
35,335237.26536766056
36,186171.9447971043
37,335099.8452060529
38,190957.23159953248
39,169631.80166257767
40,166793.33635208668
41,189141.01693471058
42,187180.76875162867
43,153143.89651033256
44,147280.91783237542
45,213260.80356913744
46,215879.25946613445
47,177021.4268906781
48,132880.67767178421
49,201121.37960160678
50,279593.9431357761
51,96409.97177207004
52,176184.96931964427
53,165547.61094591455
54,112769.45547371633
55,98582.09968789203
56,193861.03518038493
57,210702.2135140384
58,178238.09907489322
59,141996.48127407033
60,135125.78672257878
61,355958.962200089
62,100098.70493851748
63,367492.5955142126
64,244713.80558914153
65,263004.72519665665
66,144824.10642009764
67,175572.30466331742
68,205897.7953826686
69,196383.78135402943
70,200185.5507756507
71,278748.7628823094
72,88141.1037376402
73,143057.21556950104
74,137038.53805654502
75,183391.15195069546
76,148317.6618638442
77,177578.02749799963
78,131206.6447043796
79,241828.4026804077
80,114799.8686908168
81,101932.7399316884
82,281562.1019239824
83,285444.6557282645
84,252819.0799430491
85,188773.60760793497
86,157535.0622496371
87,139162.0448100303
88,155937.21348156335
89,103029.6194688877
90,192675.12270361657
91,240215.45079139312
92,171388.1358873682
93,317312.3048419615
94,141909.32247217576
95,123782.56115323228
96,115414.03201351054
97,135557.52073938644
98,387045.3293794369
99,202612.80450311772
100,257150.09202192217
101,125880.76526350738
102,190420.6202877498
103,182801.59771239292
104,284878.65636297676
105,318884.5902936419
106,184146.6742456207
107,128974.42397547673
108,214385.1170883726
109,148610.364096037
110,340332.62024287053
111,150127.12115431565
112,182690.03762155643
113,298754.1079140989
114,142618.70583491938
115,144111.46980516848
116,230759.0597797202
117,149928.82720947743
118,111460.06215453164
119,149405.62689386416
120,170535.0489445827
121,132279.30701531656
122,139971.35759333652
123,144018.8446642941
124,171663.9224813868
125,342483.337936793
126,178809.0991237227
127,129419.46199856349
128,155434.75516947376
129,313094.95093983994
130,120459.0009777753
131,211090.36494492213
132,268338.92437222414
133,185410.6697249293
134,118474.81765941206
135,201898.46032804204
136,194307.5754479542
137,156727.94871239286
138,97495.51028605789
139,265402.28088452795
140,89645.53986262766
141,205841.23614590184
142,232005.82507671247
143,151932.13592253238
144,227176.338333311
145,315080.37580435665
146,243166.73689630337
147,121733.22389826256
148,223645.04937125582
149,238706.76442919983
150,234696.32651187698
151,160774.7102524673
152,151380.58245680484
153,108837.98571170044
154,147787.86208792744
155,155681.91576238815
156,127386.08226690502
157,206018.23004793824
158,145974.57850909358
159,137344.84395307692
160,233435.7148489298
161,118304.01907738367
162,164642.28987893983
163,111909.50038732393
164,218863.79593447232
165,232178.75838083547
166,160357.34707809548
167,125224.0458208868
168,173042.4174424243
169,137590.4108195914
170,172576.4919293801
171,214480.78828113663
172,185834.71099913656
173,192375.0575429375
174,224513.53644460515
175,127810.87178821175
176,166211.2156044117
177,115538.39536725728
178,319154.5386733343
179,112623.5321859493
180,89202.4075271706
181,104750.04311143806
182,179886.7440031568
183,179884.66544973248
184,151408.23496969778
185,215422.86984214425
186,175555.69857677002
187,151340.3573518256
188,159515.15823167545
189,142485.90180423358
190,133907.30056187633
191,165895.2218790451
192,153088.67072038524
193,176224.11806986318
194,327461.6696094037
195,203656.4067194856
196,183944.83233168424
197,183562.5896978089
198,128496.7125573401
199,130456.75557148035
200,123476.83019881285
201,208346.32798444052
202,156348.3913472998
203,246423.60814302543
204,112091.84790169158
205,200472.52166377814
206,167889.64368084652
207,274637.26318807586
208,219914.3101594942
209,620294.1361512842
210,181163.9815599982
211,126379.31184208783
212,132438.88013589563
213,116837.23507244908
214,280557.19508929213
215,201377.2830520371
216,86171.86683960844
217,112218.95269125278
218,145991.21471533173
219,151970.42035833455
220,213266.7061942494
221,146726.50371449755
222,116928.53518183416
223,188175.95399566117
224,194723.72628704223
225,191346.05205425603
226,147210.03312985765
227,148820.71616807196
228,220784.95625513318
229,164302.68158263285
230,160689.63290991576
231,257620.24625120364
232,165985.47919319713
233,275690.63985618635
234,210746.3026440833
235,328529.1640908886
236,150661.8085074119
237,270078.67848532205
238,193545.89058504306
239,146076.40340678307
240,90739.67448911774
241,126099.16768369157
242,183977.58821269326
243,266680.6026555792
244,185842.39577241676
245,166836.36516115224
246,378925.50277337444
247,258507.82435351523
248,111048.11252853512
249,161138.7905879146
250,224369.83864542938
251,130724.7206038065
252,140656.0224811165
253,163911.41469590436
254,260610.22717574588
255,151023.72175822454
256,85584.22849033414
257,103468.97973810263
258,119566.43707640118
259,252689.17597516568
260,221669.04730082638
261,137472.39168969673
262,131347.46557127024
263,164752.84561465136
264,150834.47270079463
265,181954.19048200196
266,140866.7159723274
267,105818.41095444048
268,128814.87488137353
269,137702.91044806852
270,194405.44815795458
271,207054.389987821
272,105555.48094087042
273,135905.25772734967
274,150646.52530548812
