,0
0,3
1,3
2,3
3,3
4,3
5,3
6,3
7,3
8,3
9,3
10,3
11,3
12,2
13,2
14,1
15,1
16,1
17,1
18,1
19,1
20,4
21,4
22,4
23,4
24,4
25,4
26,4
27,4
28,5
29,5
30,5
31,5
32,5
33,6
34,6
35,6
36,6
37,6
38,6
39,3
40,3
41,2
42,2
43,2
44,1
45,1
46,1
47,2
48,1
49,1
50,4
51,4
52,4
53,4
54,4
55,4
56,4
57,4
58,4
59,4
60,5
61,6
62,6
63,6
64,6
65,6
66,6
67,6
68,5
69,5
70,5
71,3
72,3
73,3
74,3
75,3
76,3
77,2
78,2
79,2
80,2
81,2
82,1
83,1
84,1
85,1
86,1
87,4
88,4
89,5
90,5
91,6
92,6
93,6
94,6
95,6
96,3
97,3
98,3
99,2
100,2
101,2
102,2
103,2
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,4
115,4
116,4
117,4
118,4
119,4
120,4
121,4
122,5
123,5
124,6
125,6
126,6
127,6
128,6
129,6
130,6
131,3
132,3
133,3
134,3
135,3
136,3
137,2
138,2
139,2
140,1
141,1
142,1
143,1
144,4
145,4
146,4
147,5
148,5
149,5
150,5
151,6
152,3
153,2
154,2
155,1
156,1
157,1
158,1
159,4
160,4
161,5
162,5
163,5
164,5
165,6
166,6
167,6
168,6
169,3
170,3
171,3
172,3
173,3
174,3
175,3
176,3
177,2
178,2
179,2
180,2
181,2
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,4
192,4
193,4
194,4
195,4
196,5
197,5
198,5
199,6
200,6
201,6
202,6
203,6
204,6
205,6
206,3
207,3
208,3
209,3
210,3
211,3
212,3
213,2
214,2
215,2
216,2
217,2
218,1
219,1
220,1
221,1
222,4
223,4
224,4
225,4
226,4
227,4
228,5
229,5
230,5
231,5
232,5
233,5
234,5
235,6
236,6
237,6
238,4
239,6
240,6
241,6
242,6
243,6
244,6
245,3
246,3
247,3
248,3
249,3
250,3
251,3
252,3
253,3
254,2
255,2
256,1
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,4
265,4
266,4
267,4
268,5
269,5
270,5
271,6
272,6
273,6
274,6
275,6
276,6
277,3
278,3
279,3
280,3
281,3
282,1
283,1
284,1
285,1
286,1
287,4
288,4
289,4
290,4
291,4
292,4
293,4
294,5
295,6
296,6
297,6
298,6
299,3
300,3
301,3
302,2
303,2
304,2
305,2
306,2
307,2
308,1
309,1
310,1
311,1
312,1
313,4
314,4
315,4
316,4
317,4
318,4
319,5
320,5
321,5
322,5
323,6
324,6
325,6
326,6
327,6
328,3
329,3
330,3
331,3
332,3
333,3
334,3
335,3
336,3
337,2
338,2
339,2
340,2
341,2
342,1
343,1
344,1
345,1
346,1
347,4
348,4
349,4
350,4
351,5
352,5
353,5
354,5
355,5
356,6
357,6
358,6
359,6
360,6
361,3
362,3
363,3
364,3
365,3
366,3
367,3
368,3
369,2
370,2
371,2
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,4
380,4
381,4
382,4
383,4
384,4
385,5
386,5
387,5
388,5
389,5
390,5
391,5
392,6
393,6
394,6
395,6
396,6
397,6
398,6
399,6
400,3
401,3
402,3
403,3
404,3
405,3
406,2
407,2
408,2
409,2
410,2
411,2
412,2
413,2
414,2
415,1
416,1
417,1
418,1
419,1
420,4
421,4
422,4
423,4
424,4
425,5
426,5
427,5
428,5
429,6
430,6
431,6
432,6
433,6
434,6
435,3
436,3
437,3
438,3
439,3
440,3
441,2
442,2
443,2
444,2
445,2
446,2
447,2
448,1
449,1
450,1
451,6
452,4
453,4
454,4
455,4
456,4
457,5
458,5
459,5
460,5
461,5
462,5
463,6
464,6
465,6
466,6
467,6
468,3
469,3
470,3
471,3
472,3
473,3
474,3
475,2
476,2
477,2
478,2
479,3
480,2
481,1
482,1
483,1
484,1
485,4
486,4
487,4
488,4
489,5
490,5
491,5
492,5
493,5
494,5
495,6
496,6
497,6
498,6
499,6
500,3
501,3
502,3
503,3
504,3
505,3
506,3
507,2
508,2
509,2
510,2
511,2
512,2
513,1
514,1
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,1
524,1
525,4
526,5
527,5
528,5
529,5
530,6
531,6
532,6
533,6
534,6
535,6
536,6
537,6
538,6
539,3
540,3
541,3
542,3
543,3
544,3
545,3
546,3
547,3
548,2
549,2
550,2
551,2
552,2
553,2
554,2
555,2
556,2
557,1
558,1
559,1
560,1
561,4
562,4
563,4
564,4
565,4
566,4
567,5
568,5
569,5
570,5
571,5
572,5
573,5
574,6
575,6
576,6
577,6
578,6
579,3
580,3
581,3
582,3
583,3
584,3
585,3
586,3
587,3
588,3
589,2
590,2
591,2
592,2
593,2
594,2
595,2
596,1
597,1
598,1
599,1
600,1
601,1
602,1
603,4
604,4
605,4
606,4
607,4
608,4
609,5
610,5
611,5
612,5
613,5
614,6
615,6
616,6
617,6
618,3
619,3
620,3
621,3
622,3
623,3
624,2
625,2
626,2
627,2
628,2
629,2
630,2
631,2
632,2
633,2
634,1
635,1
636,1
637,1
638,1
639,1
640,1
641,1
642,4
643,4
644,4
645,4
646,4
647,5
648,5
649,5
650,5
651,5
652,5
653,5
654,5
655,6
656,6
657,6
658,6
659,3
660,3
661,3
662,3
663,3
664,3
665,2
666,2
667,2
668,2
669,2
670,3
671,2
672,2
673,2
674,1
675,1
676,1
677,1
678,1
679,1
680,1
681,1
682,1
683,1
684,1
685,4
686,4
687,4
688,4
689,5
690,5
691,5
692,6
693,6
694,5
695,6
696,6
697,6
698,5
699,6
700,3
701,3
702,3
703,3
704,3
705,2
706,2
707,2
708,2
709,2
710,1
711,1
712,1
713,1
714,1
715,1
716,1
717,1
718,1
719,4
720,4
721,4
722,4
723,4
724,4
725,5
726,5
727,5
728,5
729,6
730,6
731,6
732,6
733,6
734,6
735,5
736,3
737,3
738,3
739,3
740,3
741,3
742,3
743,3
744,3
745,3
746,2
747,2
748,2
749,2
750,2
751,2
752,2
753,1
754,1
755,1
756,1
757,1
758,1
759,1
760,1
761,1
762,1
763,4
764,4
765,4
766,4
767,5
768,5
769,5
770,5
771,6
772,6
773,6
774,6
775,5
776,5
777,6
778,3
779,3
780,3
781,3
782,2
783,2
784,2
785,2
786,2
787,2
788,2
789,1
790,1
791,1
792,1
793,1
794,1
795,1
796,1
797,1
798,4
799,4
800,4
801,4
802,4
803,4
804,4
805,4
806,4
807,4
808,4
809,5
810,5
811,5
812,6
813,6
814,6
815,5
816,5
817,5
818,6
819,3
820,3
821,3
822,3
823,3
824,3
825,3
826,3
827,3
828,2
829,2
830,2
831,2
832,2
833,2
834,2
835,2
836,2
837,1
838,1
839,1
840,1
841,1
842,1
843,1
844,1
845,4
846,4
847,4
848,4
849,4
850,4
851,5
852,5
853,6
854,6
855,6
856,6
857,5
858,6
859,3
860,3
861,3
862,3
863,3
864,3
865,3
866,2
867,2
868,2
869,2
870,2
871,3
872,2
873,2
874,1
875,1
876,1
877,1
878,1
879,1
880,1
881,1
